"Sample","Bioproject"
"SRR5871048","PRJNA395909"
"SRR5871049","PRJNA395909"
"SRR5871050","PRJNA395909"
"SRR5871051","PRJNA395909"
"SRR5871052","PRJNA395909"
"SRR6178141","PRJNA414453"
"SRR6178142","PRJNA414453"
"SRR6178143","PRJNA414453"
"SRR6178144","PRJNA414453"
"SRR6178145","PRJNA414453"
"SRR6178146","PRJNA414453"
"SRR6178147","PRJNA414453"
"SRR6178148","PRJNA414453"
"SRR6178149","PRJNA414453"
"SRR6308307","PRJNA419144"
"SRR6308308","PRJNA419144"
"SRR6308309","PRJNA419144"
"SRR6308310","PRJNA419144"
"SRR6308311","PRJNA419144"
"SRR6308312","PRJNA419144"
"SRR6308313","PRJNA419144"
"SRR6308314","PRJNA419144"
"SRR6308315","PRJNA419144"
"SRR6308316","PRJNA419144"
"SRR6308317","PRJNA419144"
"SRR6308318","PRJNA419144"
"SRR6356587","PRJNA421426"
"SRR6356588","PRJNA421426"
"SRR6356589","PRJNA421426"
"SRR6356590","PRJNA421426"
"SRR6356591","PRJNA421426"
"SRR6356592","PRJNA421426"
"SRR6356593","PRJNA421426"
"SRR6356594","PRJNA421426"
"SRR6356595","PRJNA421426"
"SRR6356596","PRJNA421426"
"SRR6356597","PRJNA421426"
"SRR6356598","PRJNA421426"
"SRR6356599","PRJNA421426"
"SRR6356600","PRJNA421426"
"SRR6356601","PRJNA421426"
"SRR6356602","PRJNA421426"
"SRR6356603","PRJNA421426"
"SRR6356604","PRJNA421426"
"SRR6356605","PRJNA421426"
"SRR6356606","PRJNA421426"
"SRR6356607","PRJNA421426"
"SRR6356608","PRJNA421426"
"SRR6356609","PRJNA421426"
"SRR6356610","PRJNA421426"
"SRR6356611","PRJNA421426"
"SRR6356612","PRJNA421426"
"SRR6356613","PRJNA421426"
"SRR6356614","PRJNA421426"
"SRR6356615","PRJNA421426"
"SRR6356616","PRJNA421426"
"SRR6356617","PRJNA421426"
"SRR6356618","PRJNA421426"
"SRR6388516","PRJNA423001"
"SRR6388517","PRJNA423001"
"SRR6388518","PRJNA423001"
"SRR6388519","PRJNA423001"
"SRR6388520","PRJNA423001"
"SRR6388521","PRJNA423001"
"SRR6388522","PRJNA423001"
"SRR6388523","PRJNA423001"
"SRR6388524","PRJNA423001"
"SRR6388525","PRJNA423001"
"SRR6388526","PRJNA423001"
"SRR6388527","PRJNA423001"
"SRR6388528","PRJNA423001"
"SRR6388529","PRJNA423001"
"SRR6388530","PRJNA423001"
"SRR6388531","PRJNA423001"
"SRR6388532","PRJNA423001"
"SRR6388533","PRJNA423001"
"SRR6388534","PRJNA423001"
"SRR6388535","PRJNA423001"
"SRR6388536","PRJNA423001"
"SRR6388537","PRJNA423001"
"SRR6388538","PRJNA423001"
"SRR6388539","PRJNA423001"
"SRR6388540","PRJNA423001"
"SRR6388541","PRJNA423001"
"SRR6388542","PRJNA423001"
"SRR6388543","PRJNA423001"
"SRR6388544","PRJNA423001"
"SRR6388545","PRJNA423001"
"SRR6388546","PRJNA423001"
"SRR6388547","PRJNA423001"
"SRR6388548","PRJNA423001"
"SRR6388549","PRJNA423001"
"SRR6388550","PRJNA423001"
"SRR6388551","PRJNA423001"
"SRR6388552","PRJNA423001"
"SRR6388553","PRJNA423001"
"SRR6388554","PRJNA423001"
"SRR6388555","PRJNA423001"
"SRR6388556","PRJNA423001"
"SRR6388557","PRJNA423001"
"SRR6388558","PRJNA423001"
"SRR6388559","PRJNA423001"
"SRR6388560","PRJNA423001"
"SRR6388561","PRJNA423001"
"SRR6388562","PRJNA423001"
"SRR6388563","PRJNA423001"
"SRR6388564","PRJNA423001"
"SRR6388565","PRJNA423001"
"SRR6388566","PRJNA423001"
"SRR6388567","PRJNA423001"
"SRR6388568","PRJNA423001"
"SRR6389784","PRJNA423029"
"SRR6389785","PRJNA423029"
"SRR6389786","PRJNA423029"
"SRR6389787","PRJNA423029"
"SRR6389788","PRJNA423029"
"SRR6389789","PRJNA423029"
"SRR6389790","PRJNA423029"
"SRR6389791","PRJNA423029"
"SRR6761006","PRJNA435494"
"SRR6761007","PRJNA435494"
"SRR6761008","PRJNA435494"
"SRR6761009","PRJNA435494"
"SRR6761010","PRJNA435494"
"SRR6761011","PRJNA435494"
"SRR6761012","PRJNA435494"
"SRR6761013","PRJNA435494"
"SRR6761014","PRJNA435494"
"SRR6761015","PRJNA435494"
"SRR6761016","PRJNA435494"
"SRR6761017","PRJNA435494"
"SRR6761018","PRJNA435494"
"SRR6761019","PRJNA435494"
"SRR6761020","PRJNA435494"
"SRR6761021","PRJNA435494"
"SRR6761022","PRJNA435494"
"SRR6761023","PRJNA435494"
"SRR6761024","PRJNA435494"
"SRR6761025","PRJNA435494"
"SRR6761026","PRJNA435494"
"SRR6761027","PRJNA435494"
"SRR6761028","PRJNA435494"
"SRR6761029","PRJNA435494"
"SRR6761030","PRJNA435494"
"SRR6761031","PRJNA435494"
"SRR6761032","PRJNA435494"
"SRR6761033","PRJNA435494"
"SRR6761034","PRJNA435494"
"SRR6761035","PRJNA435494"
"SRR6761036","PRJNA435494"
"SRR6761037","PRJNA435494"
"SRR6761038","PRJNA435494"
"SRR6761039","PRJNA435494"
"SRR6761040","PRJNA435494"
"SRR6761041","PRJNA435494"
"SRR6761042","PRJNA435494"
"SRR6761046","PRJNA435494"
"SRR6761047","PRJNA435494"
"SRR6761048","PRJNA435494"
"SRR6792643","PRJNA436362"
"SRR6792644","PRJNA436362"
"SRR6792645","PRJNA436362"
"SRR6792646","PRJNA436362"
"SRR6792647","PRJNA436362"
"SRR6792648","PRJNA436362"
"SRR6798206","PRJNA436651"
"SRR6798207","PRJNA436651"
"SRR6798208","PRJNA436651"
"SRR6798209","PRJNA436651"
"SRR6798210","PRJNA436651"
"SRR6798211","PRJNA436651"
"SRR6798212","PRJNA436651"
"SRR6798213","PRJNA436651"
"SRR6798214","PRJNA436651"
"SRR6798215","PRJNA436651"
"SRR6798216","PRJNA436651"
"SRR6798217","PRJNA436651"
"SRR6798218","PRJNA436651"
"SRR6798219","PRJNA436651"
"SRR6798220","PRJNA436651"
"SRR6798221","PRJNA436651"
"SRR6798222","PRJNA436651"
